,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
2,2,20,30,207,0.3,0.30300756084811814,10.128845653001918,1.0,1.9514540270029102,0.55,159.47508824200486,1.0
3,2,20,30,207,0.3,0.30300756084811814,5.897810159018263,0.9047619047619048,0.8325481200008653,0.55,233.5725866940047,0.9047619047619048
4,2,20,30,207,0.3,0.30300756084811814,12.7231126279803,1.0,0.992306569009088,0.55,145.3258472379821,1.0
0,2,20,30,224,0.25,0.33072099696478685,7.751329232996795,1.0,4.196917579974979,0.6,255.8228663839982,0.95
1,2,20,30,224,0.25,0.33072099696478685,7.805671735986834,1.0,2.852684921992477,0.65,162.44585453000036,1.0
2,2,20,30,224,0.25,0.33072099696478685,29.77457645899267,1.0,2.3705776520073414,0.65,216.425055892003,0.95
3,2,20,30,224,0.25,0.33072099696478685,14.723583020007936,1.0,2.5942327739903703,0.65,130.34238934502355,1.0
4,2,20,30,224,0.25,0.33072099696478685,5.924069666012656,1.0,2.4268694139900617,0.65,80.7346294609888,1.0
0,3,20,30,1343,0.15,0.12836805933051157,3.527702566003427,1.0,3.4445360350073315,1.0,6.644747415004531,1.0
1,3,20,30,1343,0.15,0.12836805933051157,3.5766972409910522,1.0,4.669194335991051,0.95,8.00579760799883,0.95
2,3,20,30,1343,0.15,0.12836805933051157,3.870919323002454,1.0,4.80545998699381,0.95,12.490300223988015,0.95
3,3,20,30,1343,0.15,0.12836805933051157,3.767399228992872,1.0,5.901400564005598,0.95,11.298724760999903,0.95
4,3,20,30,1343,0.15,0.12836805933051157,4.00726727899746,1.0,4.018843830010155,1.0,9.62288259001798,0.95
0,3,20,30,1003,0.25,0.05072099696478684,1.4232075100007933,1.0,11.984979303000728,0.65,13.523666390014114,0.95
1,3,20,30,1003,0.25,0.05072099696478684,1.348454984021373,1.0,12.548871018982027,0.6,3.8832556659763213,1.0
2,3,20,30,1003,0.25,0.05072099696478684,1.5544405840046238,1.0,13.617541505984263,0.55,3.475565293978434,1.0
3,3,20,30,1003,0.25,0.05072099696478684,1.5509820189909078,1.0,10.008514057990396,0.6,3.6414059110102244,1.0
4,3,20,30,1003,0.25,0.05072099696478684,1.639675886981422,1.0,12.60193528898526,0.55,3.4343621949956287,1.0
0,3,20,30,865,0.3,0.02300756084811815,2.732916617009323,1.0,10.582337389991153,0.5,17.600060358992778,0.95
1,3,20,30,865,0.3,0.02300756084811815,2.9818401339871343,1.0,11.496332273003645,0.5,27.651364788995124,0.9
2,3,20,30,865,0.3,0.02300756084811815,3.0110576650185976,1.0,12.175564637000207,0.45,4.520682663016487,1.0
3,3,20,30,865,0.3,0.02300756084811815,2.2968836069921963,1.0,5.6994236340106,0.5,4.370532042026753,1.0
4,3,20,30,865,0.3,0.02300756084811815,2.074346807989059,1.0,7.280682452023029,0.55,24.812489949981682,0.95
0,3,20,30,1580,0.1,0.19,9.857858584000496,1.0,8.230112402990926,1.0,19.55052936100401,0.95
1,3,20,30,1580,0.1,0.19,10.67078235000372,1.0,8.665229976992123,1.0,17.00802295000176,1.0
2,3,20,30,1580,0.1,0.19,11.008680383005412,1.0,7.250884470005985,1.0,15.02730657000211,0.95
