,rank,clique,order,size,missing,added,findqg_l000_time,findqg_l000_jaccard,findqg_l080_time,findqg_l080_jaccard,findqg_L005_time,findqg_L005_jaccard
4,4,10,15,934,0.15,0.6542807586060571,1.4934097839868627,1.0,1.6313967570022214,0.9,3.840913634019671,0.9
0,4,10,15,1032,0.1,0.73,2.023743854020722,1.0,1.9153488550218754,1.0,5.00352406600723,1.0
1,4,10,15,1032,0.1,0.73,2.1343851940182503,1.0,1.9393413770012558,1.0,5.232046404009452,1.0
2,4,10,15,1032,0.1,0.73,1.9671973570075352,1.0,1.8477607590029947,1.0,6.445108309009811,1.0
3,4,10,15,1032,0.1,0.73,2.889744977990631,1.0,1.9279445269785356,1.0,4.682942422979977,1.0
4,4,10,15,1032,0.1,0.73,1.93968749299529,1.0,1.8979818520019762,1.0,4.8882946710218675,0.9
0,2,10,15,96,0.05,0.8994428981355119,0.024534327996661887,0.7692307692307693,0.022087433986598626,0.7692307692307693,0.1969578489952255,0.7692307692307693
1,2,10,15,96,0.05,0.8994428981355119,0.025560509006027132,0.7692307692307693,0.02488917001755908,0.7692307692307693,0.2029948109993711,0.7692307692307693
2,2,10,15,96,0.05,0.8994428981355119,0.01665438199415803,0.8333333333333334,0.018125499016605318,0.8333333333333334,0.14908227301202714,0.8333333333333334
3,2,10,15,96,0.05,0.8994428981355119,0.022927506011910737,0.7692307692307693,0.024532256997190416,0.7692307692307693,0.18714878300670534,0.7692307692307693
4,2,10,15,96,0.05,0.8994428981355119,0.024813689989969134,0.8333333333333334,0.024413443985395133,0.6923076923076923,0.1970395410025958,0.6923076923076923
0,3,10,15,398,0.05,0.8494428981355119,1.8753703289839905,1.0,1.7443653919908684,1.0,23.786366498010466,1.0
1,3,10,15,398,0.05,0.8494428981355119,0.7874968590040226,1.0,0.800218759017298,1.0,9.697254832979525,1.0
2,3,10,15,398,0.05,0.8494428981355119,1.1403009250061586,1.0,1.133077845996013,1.0,5.7361440469976515,1.0
3,3,10,15,398,0.05,0.8494428981355119,1.251964510011021,0.75,1.3171435480180662,0.75,15.566075726004783,0.8181818181818182
4,3,10,15,398,0.05,0.8494428981355119,2.7956271480070427,0.9090909090909091,3.0144645129912533,0.9090909090909091,34.463022962008836,0.9090909090909091
0,4,10,15,1192,0.05,0.8594428981355119,5.691552166012116,1.0,5.635523448989261,1.0,17.24088185999426,1.0
1,4,10,15,1192,0.05,0.8594428981355119,15.70000244001858,1.0,15.184302911016857,1.0,35.728080533997854,1.0
2,4,10,15,1192,0.05,0.8594428981355119,6.265631193993613,1.0,6.211610235011904,1.0,20.733535458974075,1.0
3,4,10,15,1192,0.05,0.8594428981355119,5.924793065991253,1.0,5.732033546984894,1.0,18.19853060899186,1.0
4,4,10,15,1192,0.05,0.8594428981355119,7.218875274993479,1.0,7.183275049988879,1.0,26.139087671996094,1.0
0,2,20,30,289,0.25,0.5988857962710238,20.004569343000185,0.8260869565217391,10.927203583996743,0.65,85.02602110101725,0.8260869565217391
1,2,20,30,289,0.25,0.5988857962710238,14.331356082984712,0.8695652173913043,9.75349488502252,0.55,66.23862510500476,0.8695652173913043
2,2,20,30,289,0.25,0.5988857962710238,14.01425818100688,0.8636363636363636,9.695881816005567,0.65,59.36975710999104,0.7916666666666666
3,2,20,30,289,0.25,0.5988857962710238,28.33126566998544,0.8695652173913043,27.83592499801307,0.65,30.030767411983106,0.7916666666666666
4,2,20,30,289,0.25,0.5988857962710238,21.040634473989485,0.8636363636363636,11.867833217023872,0.6,58.051627577020554,0.8181818181818182
0,2,20,30,359,0.1,0.77,2.6585055970062967,0.76,64.64269076200435,0.7916666666666666,39.41791720900801,0.7916666666666666
1,2,20,30,359,0.1,0.77,2.399513256998034,0.9047619047619048,113.68162714299979,0.8636363636363636,92.76214285497554,0.9047619047619048
2,2,20,30,359,0.1,0.77,4.62414187300601,0.9090909090909091,104.48850145700271,0.8636363636363636,26.87746141498792,0.8260869565217391
3,2,20,30,359,0.1,0.77,2.507629383006133,0.9090909090909091,35.94318278800347,0.8260869565217391,7.9934440959768835,0.8260869565217391
4,2,20,30,359,0.1,0.77,22.27552728698356,0.8571428571428571,78.79526234799414,0.9090909090909091,45.5848663560173,0.8260869565217391
0,2,20,30,332,0.15,0.6942807586060571,19.123824768990744,0.9047619047619048,57.76508934999583,0.8095238095238095,60.28858460200718,0.9047619047619048
1,2,20,30,332,0.15,0.6942807586060571,18.616625914000906,0.8636363636363636,55.85965783300344,0.8095238095238095,47.83106594797573,0.8636363636363636
2,2,20,30,332,0.15,0.6942807586060571,12.22259828899405,0.8260869565217391,148.0953976289893,0.8636363636363636,21.71484845399391,0.8260869565217391
3,2,20,30,332,0.15,0.6942807586060571,17.355228647997137,0.8636363636363636,67.90446757999598,0.85,35.22677226198721,0.9090909090909091
4,2,20,30,332,0.15,0.6942807586060571,7.867234936013119,0.8636363636363636,23.090801849990385,0.7619047619047619,52.586957061022986,0.782608695652174
0,2,20,30,308,0.2,0.6405571018644881,26.26516036200337,0.8636363636363636,23.969046343991067,0.7142857142857143,90.27824504999444,0.8260869565217391
1,2,20,30,308,0.2,0.6405571018644881,9.50583977001952,0.8636363636363636,21.737140551995253,0.65,85.601497458003,0.8636363636363636
2,2,20,30,308,0.2,0.6405571018644881,18.957011445017997,0.8260869565217391,18.805377230019076,0.65,91.3445517240034,0.8260869565217391
3,2,20,30,308,0.2,0.6405571018644881,19.345703672006493,0.8260869565217391,22.876748230017256,0.7142857142857143,186.99333462602226,0.8260869565217391
4,2,20,30,308,0.2,0.6405571018644881,7.789430033997633,0.9047619047619048,21.00988784400397,0.65,58.61439116302063,0.9047619047619048
0,2,20,30,271,0.3,0.5648378604705452,37.32633762300247,0.8636363636363636,9.231004670989932,0.6,105.43014806500287,0.8260869565217391
1,2,20,30,271,0.3,0.5648378604705452,17.52305259098648,0.8260869565217391,7.377225676988019,0.55,139.01654355198843,0.76
2,2,20,30,271,0.3,0.5648378604705452,285.1310927429877,0.7916666666666666,8.040851999016013,0.55,225.88123363701743,0.75
