,rank,clique,order,size,missing,added,find2_time,find2_jaccard,findq_time,findq_jaccard,findqg_time,findqg_jaccard
10,2,10,15,34,0.25,0.0,0.6,0.6,0.03382828086614609,0.9,0.07103753089904785,0.9
11,2,10,15,34,0.25,0.0,0.5,0.5,0.033907247707247734,0.8,0.057172954082489014,0.9
12,2,10,15,34,0.25,0.0,0.6,0.6,0.035951653495430946,0.9,0.1355939507484436,0.9
13,2,10,15,34,0.25,0.0,0.6,0.6,0.0315371360629797,0.9,0.037529757246375084,1.0
14,2,10,15,34,0.25,0.0,0.5,0.5,0.0308514516800642,0.9,0.04717979021370411,0.9
0,2,20,30,143,0.25,0.0,0.45,0.45,0.22005208022892475,0.8,0.284716097638011,1.0
1,2,20,30,143,0.25,0.0,0.4,0.4,0.2250170074403286,0.85,0.9095952194184065,0.95
2,2,20,30,143,0.25,0.0,0.45,0.45,0.21881544403731823,0.8,0.3015614524483681,1.0
3,2,20,30,143,0.25,0.0,0.45,0.45,0.20977102033793926,0.9,0.2271448913961649,1.0
4,2,20,30,143,0.25,0.0,0.45,0.45,0.2125648595392704,0.8,0.6536505371332169,0.95
5,2,20,30,143,0.25,0.0,0.45,0.45,0.2982830759137869,0.8,6.120492797344923,0.9
6,2,20,30,143,0.25,0.0,0.4,0.4,0.19356762245297432,0.8,0.27833004854619503,1.0
7,2,20,30,143,0.25,0.0,0.45,0.45,0.305449940264225,0.8,1.9780844300985336,0.9
8,2,20,30,143,0.25,0.0,0.4,0.4,0.21039987169206142,0.8,0.29407214373350143,1.0
9,2,20,30,143,0.25,0.0,0.45,0.45,0.2719106934964657,0.8,1.796374138444662,0.9
10,2,20,30,143,0.25,0.0,0.4,0.4,0.23997021652758121,0.85,2.0553358737379313,0.95
11,2,20,30,143,0.25,0.0,0.45,0.45,0.27426750771701336,0.8,0.34568917378783226,1.0
12,2,20,30,143,0.25,0.0,0.4,0.4,0.2589335925877094,0.8,0.9631831757724285,1.0
13,2,20,30,143,0.25,0.0,0.45,0.45,0.23937999084591866,0.8,0.30690749175846577,1.0
14,2,20,30,143,0.25,0.0,0.4,0.4,0.1902886349707842,0.8,0.23331701569259167,1.0
0,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.7279852405190468,0.8666666666666667,0.8069708682596684,1.0
1,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.7875375933945179,0.7333333333333333,45.69211697950959,0.9
2,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.9076711796224117,0.8,5.07258278131485,0.9333333333333333
3,2,30,45,327,0.25,0.0,0.36666666666666664,0.36666666666666664,1.0575468391180038,0.7666666666666667,52.678948767483234,0.9
4,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.6633728519082069,0.7666666666666667,51.88139330223203,0.9666666666666667
5,2,30,45,327,0.25,0.0,0.36666666666666664,0.36666666666666664,0.7624198570847511,0.7666666666666667,4.20966692827642,0.9666666666666667
6,2,30,45,327,0.25,0.0,0.3,0.3,0.7028865274041891,0.8,1.159806439653039,1.0
7,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.5850482359528542,0.7666666666666667,1.5641654040664434,1.0
8,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.7465320471674204,0.7333333333333333,11.212450496852398,0.9666666666666667
9,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.7947962339967489,0.7666666666666667,1.7396125588566065,0.9666666666666667
10,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.989732688292861,0.7333333333333333,12.510649025440216,0.9666666666666667
11,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.5982283968478441,0.7333333333333333,155.50919220224023,0.9666666666666667
12,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.9210308510810137,0.7333333333333333,116.06166023388505,0.9666666666666667
13,2,30,45,327,0.25,0.0,0.3,0.3,0.5798877067863941,0.7333333333333333,22.128392865881324,0.9666666666666667
14,2,30,45,327,0.25,0.0,0.3333333333333333,0.3333333333333333,0.7951244600117207,0.8,5.389953717589378,0.9333333333333333
0,2,10,15,36,0.2,0.0,0.6,0.6,0.03791012056171894,0.9,0.04329356923699379,1.0
1,2,10,15,36,0.2,0.0,0.6,0.6,0.03608305938541889,1.0,0.03762044943869114,1.0
2,2,10,15,36,0.2,0.0,0.6,0.6,0.036474164575338364,1.0,0.038428839296102524,1.0
3,2,10,15,36,0.2,0.0,0.5,0.5,0.035930173471570015,0.9,0.04191870242357254,1.0
4,2,10,15,36,0.2,0.0,0.7,0.7,0.04372308403253555,0.8,0.13946828804910183,1.0
5,2,10,15,36,0.2,0.0,0.7,0.7,0.03845112398266792,0.9,0.15929502993822098,0.9
6,2,10,15,36,0.2,0.0,0.5,0.5,0.035485390573740005,0.8,0.04883353225886822,1.0
7,2,10,15,36,0.2,0.0,0.6,0.6,0.03971014358103275,0.8,0.052992282435297966,1.0
8,2,10,15,36,0.2,0.0,0.6,0.6,0.0394433718174696,1.0,0.04377671144902706,1.0
9,2,10,15,36,0.2,0.0,0.6,0.6,0.03688826598227024,0.9,0.04276728816330433,1.0
10,2,10,15,36,0.2,0.0,0.6,0.6,0.04258430376648903,0.9,0.04821565002202988,1.0
11,2,10,15,36,0.2,0.0,0.6,0.6,0.03807500936090946,0.8,0.05182167701423168,1.0
12,2,10,15,36,0.2,0.0,0.6,0.6,0.03570955619215965,0.8,0.048594843596220016,1.0
13,2,10,15,36,0.2,0.0,0.6,0.6,0.036553775891661644,0.9,0.04267208278179169,1.0
14,2,10,15,36,0.2,0.0,0.7,0.7,0.036956965923309326,1.0,0.03947748802602291,1.0
0,2,20,30,152,0.2,0.0,0.5,0.5,0.34808940067887306,0.85,0.7811663318425417,0.9
1,2,20,30,152,0.2,0.0,0.45,0.45,0.27776424400508404,0.8,0.32379862293601036,1.0
2,2,20,30,152,0.2,0.0,0.45,0.45,0.2333021927624941,0.95,0.26105086877942085,1.0
3,2,20,30,152,0.2,0.0,0.45,0.45,0.2414393462240696,0.85,0.2828933112323284,1.0
4,2,20,30,152,0.2,0.0,0.5,0.5,0.2516480069607496,0.85,0.27786946296691895,1.0
5,2,20,30,152,0.2,0.0,0.45,0.45,0.31086871214210987,0.9,0.3166481535881758,1.0
6,2,20,30,152,0.2,0.0,0.5,0.5,0.2945827040821314,0.85,0.3163202814757824,1.0
